number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta_ratio,params_epsilon_decay_steps,params_epsilon_end,params_epsilon_start,params_gamma,params_lambda,params_mu,params_trace_length,state
53,1047.2227830409824,2026-05-24 16:13:05.513114,2026-05-24 16:13:15.271103,0 days 00:00:09.757989,0.04467953719537254,29.886104415216657,8776,0.06673694308452258,0.9642199906474869,0.9347847548999051,0.5240734779732471,1.4655573349480335,892,COMPLETE
54,1101.0217494138478,2026-05-24 16:13:05.517208,2026-05-24 16:13:12.163051,0 days 00:00:06.645843,0.04616360100532608,29.9416316070291,10829,0.02004940253897039,0.9993841094470829,0.9361019003177927,0.5247985301311736,1.4792886398235487,505,COMPLETE
55,1061.2254112390367,2026-05-24 16:13:12.854378,2026-05-24 16:13:26.199483,0 days 00:00:13.345105,0.0629383116249935,29.84510210867887,10586,0.06923063864483497,0.960680802961458,0.9553595400455422,0.5307388209973442,1.4711318928537958,513,COMPLETE
56,783.783182100521,2026-05-24 16:13:15.991866,2026-05-24 16:13:25.507353,0 days 00:00:09.515487,0.06227179237824463,29.28332631155493,19490,0.014560397461030154,0.7074407158772382,0.9596352124697938,0.5399540741070861,1.6162660598729595,518,COMPLETE
57,789.6793301052262,2026-05-24 16:13:16.660563,2026-05-24 16:13:29.549735,0 days 00:00:12.889172,0.03631120192944638,28.7302479916188,10937,0.07593934656552112,0.7197791984235989,0.9425759153349295,0.5786125683371804,1.3423677807331762,515,COMPLETE
58,1079.743462350667,2026-05-24 16:13:19.356811,2026-05-24 16:13:33.079135,0 days 00:00:13.722324,0.03565517278972511,28.927634307390335,9327,0.02154863090663184,0.9874082934112802,0.9547172254493055,0.5672157377556712,1.3157584115942933,512,COMPLETE
59,1081.4722414856003,2026-05-24 16:13:26.197015,2026-05-24 16:13:37.614835,0 days 00:00:11.417820,0.09510522617455937,27.361013508591153,9235,0.028121944810670905,0.988670851393693,0.9432024574517178,0.5824592350752382,1.3453652316617002,454,COMPLETE
60,1094.710543685954,2026-05-24 16:13:26.201268,2026-05-24 16:13:41.503935,0 days 00:00:15.302667,0.036976986067459035,28.5806134875184,12415,0.027310879751072915,0.9866861111972913,0.8823251675411105,0.5810853298628172,1.123708628583159,444,COMPLETE
61,1113.5984127583968,2026-05-24 16:13:29.550472,2026-05-24 16:13:43.596863,0 days 00:00:14.046391,0.08851010989033416,27.42406615546311,17810,0.027420897443910634,0.9873775010404832,0.9308242977748061,0.5760828886442001,1.1430405492362838,569,COMPLETE
62,1054.9597388388418,2026-05-24 16:13:33.081445,2026-05-24 16:13:47.098711,0 days 00:00:14.017266,0.08828961533819503,27.533732364335066,13258,0.028250701780577793,0.9462892229216572,0.9300501222883827,0.6752244089391278,1.1223895146354756,446,COMPLETE
